Actual Spending,Purchase Frequency,Frequency,Value,RFM_Segment_Label
239.0,1,1,2,Low_Value
399.0,1,1,3,Low_Value
230.0,1,1,2,Low_Value
448.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
199.0,1,1,1,Low_Value
89.0,1,1,1,Low_Value
479.0,1,1,4,Low_Value
462.0,3,4,3,Low_Value
272.0,1,1,2,Low_Value
99.0,1,1,1,Low_Value
229.0,1,1,2,Low_Value
666.0,2,4,4,Low_Value
399.0,1,1,3,Low_Value
745.0,1,1,4,Low_Value
279.0,1,1,2,Low_Value
134.0,1,1,1,Low_Value
150.0,1,1,1,Low_Value
279.0,1,1,2,Low_Value
225.0,1,1,2,Low_Value
399.0,1,1,3,Low_Value
160.0,1,1,1,Low_Value
475.0,1,1,3,Low_Value
326.0,1,1,3,Low_Value
457.0,1,1,3,Low_Value
252.0,1,1,2,Low_Value
253.0,1,1,2,Low_Value
418.0,2,4,3,Low_Value
219.0,1,1,2,Low_Value
199.0,1,1,1,Low_Value
980.0,1,1,4,Low_Value
89.0,1,1,1,Low_Value
499.0,1,1,4,Low_Value
499.0,1,1,4,Low_Value
1493.0,7,4,4,Mid_Value
329.0,1,1,3,Low_Value
263.0,1,1,2,Low_Value
96.0,1,1,1,Low_Value
510.0,1,1,4,Low_Value
179.0,1,1,1,Low_Value
561.0,1,1,4,Low_Value
179.0,1,1,1,Low_Value
599.0,1,1,4,Low_Value
599.0,1,1,4,Low_Value
190.0,1,1,1,Low_Value
39.0,1,1,1,Low_Value
250.0,1,1,2,Low_Value
310.0,1,1,3,Low_Value
199.0,1,1,1,Low_Value
249.0,1,1,2,Low_Value
225.0,1,1,2,Low_Value
380.0,1,1,3,Low_Value
499.0,1,1,4,Low_Value
494.0,4,4,4,Mid_Value
699.0,1,1,4,Low_Value
351.0,1,1,3,Low_Value
299.0,1,1,2,Low_Value
1207.0,3,4,4,Low_Value
59.0,1,1,1,Low_Value
99.0,1,1,1,Low_Value
688.0,1,1,4,Low_Value
269.0,1,1,2,Low_Value
69.0,1,1,1,Low_Value
249.0,1,1,2,Low_Value
429.0,1,1,3,Low_Value
399.0,1,1,3,Low_Value
238.0,1,1,2,Low_Value
599.0,1,1,4,Low_Value
198.0,2,4,1,Low_Value
